"您为此书添加的 Kindle 笔记：",,,
"余生皆假期 (午夜文库)",,,
"作者：伊坂幸太郎、 吕灵芝",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/0kcSwVU",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 196","","“条件？”我感到胃部一阵抽痛。当我们向某些人提出条件的时候，多数都是“只有自己能获益”的"
"标注 (黄)","位置 287","","一味沉湎于过去是毫无意义的。一直看着后视镜是很危险的，会出交通事故哦。开车的时候必须专心地看着前进的方向。已经走过的路，只要时不时地回顾一下就可以"
"标注 (黄)","位置 299","","“怎么不行了？从明天开始，我的余生就都是假期了。我要"
"标注 (黄)","位置 927","","听好了，工作只要一样一样地做好就行。因为你总想一次全部完成，所以才会失败。比如超市的塑料袋，先别急着弄开，要吹"
"标注 (黄)","位置 982","","一个人要是到了使用‘否则’这个词的时候，就是真的完蛋了。那种场面可不经常出现在人生中"
"标注 (黄)","位置 1388","","我灵光一现，说：“恨罪，但不恨"
"标注 (黄)","位置 1665","","——“我要忘却悲伤，过完剩下的"
"标注 (黄)","位置 1709","","恐怕在沟口先生这么长的人生中，就没积攒下任何金钱或经验"
"标注 (黄)","位置 1778","","常务说：“唉，沟口就像动物一样，从来都只想着自己。他从没认真干过什么事，只会一味地从别人手中夺取。连冈田也成了他的"
"标注 (黄)","位置 1857","","我和沟口先生这样的人，究竟教会了世人什么呢？ 没什么东西比免费更贵的了——就是这个，我们一直在用自己的行动向世人传授这个"
"标注 (黄)","位置 1858","","我们会利用对方的罪恶感和感恩之情，逼迫他们做许多麻烦的"
"标注 (黄)","位置 1969","","“也不能这么说。不过人啊，一旦积攒了过多压力，就会想吃"
"标注 (黄)","位置 2160","","“冈田跟我说要辞职的时候，曾经这样说：‘我的工作总是让别人怕得想哭。看着别人那么痛苦，我一点都不"
"标注 (黄)","位置 2163","","“当时我也笑他说：‘要是能做得开心，那就不是工作"
"标注 (黄)","位置 2165","","“不去攻击对方的弱点，不去利用对方的失误，而是让对方高兴，卖他们"
"标注 (黄)","位置 2261","","工作和职责还是有人分担比较稳妥，这是进行困难作业时的"
"标注 (黄)","位置 2369","","果然，冈田说得没错，要请人做事，与其威胁，还不如‘亲切’。只要对别人好，别人也会对"
"标注 (黄)","位置 2447","","沟口先生开口道：“到时候，我们就如你所愿，找个地方度假去。我剩下的人生都是暑假，而且没有"
