"您为此书添加的 Kindle 笔记：",,,
"你从未真正拼过（LINKEDIN（领英）跟大咖学精进，跑好职场第一棒！分享高效工作方法，打通职场上升之门，少走弯路！） (博集成功法则系列)",,,
"作者：LinkedIn(领英)",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/ckEObYb",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","第 1 页","","道虽迩，不行不至；事虽小，不为"
"标注 (黄)","第 45 页","","这些人从来不花一点点时间去思考，自己最适合的领域是什么，如何能多快好省地做事情，他们相信反正用苦行僧仪式把自己逼到最惨，自然会有福"
"标注 (黄)","第 46 页","","忙、累，只是你自愿投下去的成本，并没有任何人许诺过，你的一切投入就一定可以获得回报。投下去却听不见响儿的风险，你必须自己"
"标注 (黄)","第 46 页","","让你始终处在一个被优先度很高、但重要性不高的事情环绕的状态，所有时间和精力全部被调用来应付眼前的琐碎事务，再无法腾出脑力和时间来思考任何长期、远期的"
"标注 (黄)","第 47 页","","穷忙"
"标注 (黄)","第 47 页","","这世上从来没有一个矿工，因为挖矿又快又多而能当上矿主，但这不妨碍矿主给矿工编织美妙的"
"标注 (黄)","第 47 页","","只是感动了自己的刻奇（Kitsch，讨好自己）"
"标注 (黄)","第 47 页","","拜忙碌教”的人终日片刻不得闲，却未曾停下来想过自己到底有没有在对的方向上努力。堆砌时间和堆砌自以为是的“努力”，这种量上的积累再多，也无法引起质变。有时，必须要停下这台忙碌的机器，重新审视，才能知道真正对的路"
"标注 (黄)","第 48 页","","不被忽悠，才可继续出发。随波逐流，是最大的时间"
"标注 (黄)","第 49 页","","世界上最不幸的人要数那些说不清自己究竟想做什么的人。他们在这个世界上找不到适合他们干的事，简直无处"
"标注 (黄)","第 52 页","","在大自然的字典里。根本不存在失败这两个字，所以资源从来没有缺乏过，也永远不会缺乏，真正缺乏的永远只有"
"标注 (黄)","第 55 页","","你不要害怕尝试，拒绝尝试就等于拒绝了了解自己、成就自己的"
"标注 (黄)","第 55 页","","兴趣可以是很广泛的，特长却是专一"
"标注 (黄)","第 56 页","","这是很重要的一步，你可以列出很多理由说明你喜欢一件事情，但请记得问自己：“什么情况下，我会放弃"
"标注 (黄)","第 57 页","","注意，劣势是用来避免而不是补强，因为你的劣势是很多人的优势，人生最大的悲剧是用下等马去"
"标注 (黄)","第 58 页","","把目标拆分为长期目标，再根据长期目标拆分出中期目标，以此倒推，列出短期和近期目标。这就是人生的整个规划"
"标注 (黄)","第 58 页","","认识自己是一个浩大的工程，很多人宁愿闻风而动、四处乱窜也不愿意静下心来认真剖析自己，因为他们不敢面对虚伪的"
"标注 (黄)","第 58 页","","从现在起，你要真实地面对自己，绝对不要欺骗自己，你要听从自己内心的声音，你对自己越忠诚，你的直觉就越敏锐，你就越发具有“超"
"标注 (黄)","第 60 页","","他们“贩卖”兴趣、知识和经验，并且多是长时间积累所成，不可机械复制，难以被"
"标注 (黄)","第 63 页","","Personal"
"标注 (黄)","第 70 页","","令我重新审视自己的是Sheryl Sandberg（谢丽尔·桑德伯格）的Lean In（《向前一步》）"
"标注 (黄)","第 73 页","","重复性的操作是磨砺技能的必经"
