"您为此书添加的 Kindle 笔记：",,,
"写出我心:普通人如何通过写作表达自己",,,
"作者：娜塔莉·戈德堡(Natalie Goldberg)、 韩良忆、 袁小茶",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/0sCU5Pj",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 222","","有人会买高价的硬皮记事本，庞大又笨重，而且因为本子外观精巧好看，你会以为非得在上头写些好文章才配。相反地，你应该觉得，就算在纸上写下全世界最烂的垃圾文字也没"
"标注 (黄)","位置 253","","1．手应当不停地写。（不要停下来重读你刚才写的那一行，那只是在拖时间，并在设法掌控你正在说的话。） 2．不要删除。（那是在编辑你写的东西，就算写出来的并不是你原本打算写的东西，也随它去。） 3．别担心拼错字、标点符号和文法。（甚至别去管是否把字写出了格子，或超出线。） 4．放松控制。 5．别思考，别想着要合乎逻辑。 6．直捣要害。（倘若你写出了可怕或太过赤裸裸的东西，那就一头钻进去，其中说不定蕴藏了很多"
"标注 (黄)","位置 260","","因为你的目标就是要竭尽所能回到初始的意念，回到能量未受社交礼节或内在压抑阻挠之处，回到你把心灵实际所见与所感都写出来的地方，而不是心灵以为它该见到或该有的"
"标注 (黄)","位置 263","","初始的意念藏有巨大的能量，呈现心灵对某件事物灵光一闪的最初反应。但内在的潜意识压抑往往会抑制它们，我们因而生活在第二手、第三手想法的世界里；思索再思索，再三地远离了和初始灵光的直接联系。比方说下面这句话──“我把喉咙上的雏菊割掉了”突然浮现心头，可是我受过一加一等于二逻辑训练的脑子，经过深思，基于礼貌、恐惧，加上对自然无矫饰的语言感到难为情，于是会这么说：“胡说八道，你听起来一副想自杀的样子。别让人见到你在割喉咙，人家会以为你是神经病。”如果我们听任潜意识的压抑发威，我们会写出：“我的喉咙有点痛，所以我什么话也没讲。”合宜但"
"标注 (黄)","位置 272","","坐禅时，你得把背挺直，双手置膝或置于身前，盘腿坐在叫做zafu的坐垫上，这个姿势名为“手印”（mudra）；你面对白墙， 留心自己的呼吸，不管心里感觉如何──心头洋溢龙卷风般的怒火和抗拒也好，还是像大雷雨般的喜悦与悲哀也好，你都得持续坐着，背挺直，面墙盘腿打坐。你学会一件事：不论内心的思潮或情感有多澎湃，都得不动如泰山。继续坐着，这便是得遵守的"
"标注 (黄)","位置 276","","写作亦是如此。当你接触初起的意念时，你必须当个伟大的斗士，从这些意念写起。特别是在一开头的时候，你可能会感到情感洋溢且能量充沛，因而难以自持，但切勿停笔。应持续用你的笔记录生命的细节，并洞悉这些细节的核心。在初级写作班上，常有学生读了自己方才所写的东西以后，痛哭失声。这无伤大雅，他们也常边写边哭。我鼓励他们透过泪眼阅读或写作，如此才能显现出另一面，而不再受情绪摆布。流泪时不要停下，勇往直前探究真相。这就是该守的"
"标注 (黄)","位置 282","","我有位信佛的朋友一次在打坐完以后说：“打坐后，色彩变得更鲜活了。”教她打坐的师父表示：“活在当下，世界才会真的活过"
"标注 (黄)","位置 287","","偶尔你会提不起劲，三里的路程，每一步都在抗拒，可是你还是勉为其难地跑了。有兴致也好，没兴致也罢，你都得练习，可不能坐等灵感来了，想跑的欲望涌现了，才开步前进。灵感和欲望绝对不会自动来报到，尤其当你身材已经变形，而且一直在逃避，更休想它们会来。然而倘若你定期跑步，训练自己的心志去适应，或不去理会那股抗拒的心情，你就是去跑，并且在跑到一半的时候，爱上了跑步。当你接近终点的时候，反而极不愿意停下脚步。一旦停步了，便渴望下一次的"
"标注 (黄)","位置 292","","写作亦是如此，你一旦埋首写作，便会纳闷，自己怎么会耽搁了那么久才终于坐在书桌前。经由练习，你确实得到进步；学会更加信赖深层的自我，并且不屈从于心底有意逃避写作的那个声音。有件事真是奇怪，那就是我们从来不会质疑足球队在一场比赛之前，是否应该花上好长一段时间练球，可是碰上写作这种事，我们却难得给自己练习的"
"标注 (黄)","位置 296","","尽量不对自己有所期许，坐在桌前，说：“我有写出世上最烂的垃圾的自由。”你必须给自己空间，没有目的，痛快地"
"标注 (黄)","位置 297","","要是你每一回一坐下，都期待着要写出伟大作品的话，写作带给你的，永远只有大大的失望。此外，那份期待也会让你迟迟无法"
"标注 (黄)","位置 301","","要是没达到理想，我会小心地不责难自己或慌张着急，没有人能事事符合"
"标注 (黄)","位置 307","","写作练习的主要目的之一，就是学会信赖自己的心灵和身体，并培养耐性和不具侵略性的"
"标注 (黄)","位置 310","","写作的过程教我们保持神志"
"标注 (黄)","位置 322","","把写作练习想成是一双慈爱的臂膀，让你没有逻辑、没有来由，一心只想"
"标注 (黄)","位置 349","","了解这个过程，可培养人的耐性，并减少焦虑。我们无法控制每件事情，连自己要写的东西也掌握不了。在此同时，我们必须保持练习，我们不能以此为不写作的借口，而坐在沙发上吃"
"标注 (黄)","位置 378","","我们必须正视自己的惰性、缺乏安全感、自怨自艾，以及深恐自己根本没啥值得好说的那种"
"标注 (黄)","位置 381","","你面对一切，不逃之夭夭，就会感觉到自己逐渐拥有艺术的稳定性。如果你不害怕自己内在的声音，也就不会畏惧别人对你的批评"
