"您为此书添加的 Kindle 笔记：",,,
"活出最乐观的自己【积极心理学之父塞利格曼的幸福科学四部曲之二】 (清华大学社会科学学院积极心理学研究中心专业推荐！)",,,
"作者：马丁•塞利格曼(Martin E.P.Seligam)、 洪兰、 任俊、 罗劲",,,
"免费 Kindle 极速预览：",,,
"http://z.cn/eoFmjVI",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 73","","第一股力量是“自我”的"
"标注 (黄)","位置 75","","第二股力量注重“我们”，这在一定程度上可以使个人的失败得到"
"标注 (黄)","位置 78","","自尊运动就是第三股"
"标注 (黄)","第 5 页","","坏事只是暂时的，是一个挑战，最终都会被"
"标注 (黄)","第 5 页","","悲观的人的特征是，他相信坏事都是因为自己的错，这件事会毁掉他的一切，会持续很久。乐观的人在遇到同样的厄运时，会认为现在的失败是暂时性的，每个失败都有它的原因，不是自己的错，可能是环境、运气或其他人为原因的"
"标注 (黄)","第 5 页","","这种人不会被失败击倒。在面对恶劣环境时，他们会把它看成是一种挑战，更努力地去克服"
"标注 (黄)","第 6 页","","让你在失败时，有选择光明的"
"标注 (黄)","第 6 页","","悲观现象的核心是另外一个现象——无助感（helplessness），所谓无助感是说不论你怎么做都无法改变你的"
"标注 (黄)","第 7 页","","个人控制指的是用自主的行为去改变命运，它和无助感是相反"
"标注 (黄)","第 7 页","","人生有许多事是无法由我们控制的——我们眼睛的颜色、种族、美国西部的干旱。但是人生还是有一大部分是我们可以控制的，这包括我们如何生活，如何跟别人相处，如何"
"标注 (黄)","第 7 页","","对生命的想法其实可以扩大或缩小我们对生命的控制力。我们的思想其实不仅仅是对事件的反应，它还改变了事情的"
"标注 (黄)","第 7 页","","在这本书的后面，我们会看到如果权衡，轻度的悲观是有用的。但是25年的研究使我相信，习惯性的悲观想法会使更多不顺利的事降临到我们头上。而且这种想法会使我们很容易陷入抑郁状态，使我们不能发挥出原有的能力。悲观的预言常常是自我实现"
"标注 (黄)","第 8 页","","但是研究指出，有悲观思维习惯的人常常会把一点不顺利转变成"
"标注 (黄)","第 8 页","","其中一种方式就是把自己的无辜转变成"
"标注 (黄)","第 9 页","","悲观的思维模式不一定永远不能改变。心理学在过去20年最显著的发现就是：人可以选择他想要的思考"
"标注 (黄)","第 12 页","","90%以上的病例都是断断续续发作的抑郁症，抑郁症时好时坏，病情从3个月到12个月不等，成千上万的病人用这种方法治疗了无数个疗程，而心理分析法对抑郁症几乎毫无疗效"
"标注 (黄)","第 12 页","","最糟的是，心理分析治疗的理论将病因怪罪到病人身上。心理分析理论认为，正是这些人性格上的缺陷才使他们患上抑郁"
"标注 (黄)","第 14 页","","我们的学校、社会都认为成功来自能力和"
"标注 (黄)","第 14 页","","当失败时，通常被认为是能力或动机不足。但失败也可能是在能力和动机都很足，但乐观不足的情况下发"
"标注 (黄)","第 15 页","","摆脱抑郁症、提高成就以及改善健康状况是习得性乐观（learned optimism）的三个最主要的应用，同时它也会带给你全新的自我"
"标注 (黄)","第 16 页","","重要的是你在失败的时候运用“非消极的思考方式”（non-negative thinking）。习得性乐观的主要技巧是在失败的情境中改变具有破坏性的"
"标注 (黄)","第 16 页","","我们从个人控制理论开始。我将介绍两个主要的概念：习得性无助（learned helplessness）和解释风格（explanatory style），它们是彼此交错"
"标注 (黄)","第 16 页","","习得性无助是一个放弃的反应，是源自“无论你怎么努力都于事无补”的想法的行为。解释风格是你对为什么这件事会这样发生的习惯性解释"
"标注 (黄)","第 16 页","","它是习得性无助的调节器：乐观的解释风格可以阻止习得性无助，而悲观的解释风格可以散播习得性无助。你在遇到挫折或暂时的失败时，你的解释方式将决定你会变得多无助或多斗志昂扬。我认为你的解释方式其实反映出你的心态：你心中的一个"
"标注 (黄)","第 17 页","","★悲观的人相信坏事都是因为自己的错，这件事会毁掉他的一切，会持续很久。悲观的人会认为自己无能为力，就此"
"标注 (黄)","第 17 页","","★乐观的人在遇到同样的厄运时，会认为现在的失败是暂时性的，每个失败都有它的原因，不是自己的错，乐观的人不会被失败击倒。在面对恶劣环境时，他们会把它看成是一种挑战，更努力地去克服"
"标注 (黄)","第 20 页","","只有靠实验才能找出合乎科学的因果关系，这个原则应用在像“无助”这种情绪问题上也一样适用，只有找出因果关系才能学会如何去"
"标注 (黄)","第 21 页","","在巴甫洛夫的经典条件反射中，电击与否跟狗本身的动作完全没有关系，在电击时，不论这只狗叫、跳还是挣扎，电击都不会停止。所以它们得到了这个结论——不论它们做什么都没有用，假如对即将发生的事情"
"标注 (黄)","第 22 页","","我后来花了10年的时间来说服学术界，这个发生在狗身上的现象是无助；它既然可以被学会，也可以通过学习来把它"
"标注 (黄)","第 23 页","","我们俩都知道个案研究在科学上是没有价值的。个案研究只是描述病人生活中的一些逸事，它无法带给我们任何因果关系的推论，我们根本不知道个案背后发生的事，因为它是以讲故事的人的视角来叙述的，因此这个事件一定会被扭曲。只有严密控制变量的实验才能分离出“因”，而有了“因”才能找到治疗的"
"标注 (黄)","第 24 页","","根据当时最流行的行为主义心理学理论，动物或人是不可能学会无助"
"标注 (黄)","第 24 页","","有机体只有在反应能带来奖励或惩罚的情况下，才可能学会这个反应。在你们所设计的实验中，反应跟奖惩无关，它不符合现行学习理论中的任何一个情境，所以不可能发生"
"标注 (黄)","第 25 页","","显然，动物可以学会它们的行为是于事无补的，它们因此而变得被动，不再做任何事。我们的实验结果证明了学习理论的中心前提是错的，即学习只有在行为产生奖励或惩罚时才"
"标注 (黄)","第 26 页","","行为主义者坚持一个人的所有行为只受他得到的奖励和惩罚所决定：一个被奖励的行为可能会重复，而一个被惩罚的行为则可能被压抑，"
"标注 (黄)","第 26 页","","意识——思考、计划、期待、记忆，不会影响"
"标注 (黄)","第 26 页","","行为主义者认为人类的行为完全受环境的塑造，而不受他内在思想的"
"标注 (黄)","第 26 页","","行为主义者对人类抱着异常乐观的态度：只要改变一个人的环境，就可以改变一个人的"
"标注 (黄)","第 28 页","","梅尔和我现在知道如何去制造习得性无助了，但我们可以治愈它"
"标注 (黄)","第 28 页","","我们将前面已经学会无助的狗，放入往返箱，用手把这些不情愿动的狗拖过来，拖过去，越过中间的矮闸，直到它们开始自己动为止。我们发现，一旦它们发现自己的行为对关掉电源是有效的时，无助就被治愈了。这个“治疗”百分之百有效，而且具有"
"标注 (黄)","第 28 页","","于是我们开始研究对“无助”的预防，我们发现了一个现象，称之为“免疫”（immunization）。如果事前学习到行为是有效的，那么这个学习就可以预防无助的发生。我们甚至发现当这只狗还是小狗时，我们教给它这个方法，结果终其一生，这只狗都对无助具有免疫力。这个实验对人类的意义是很大的。 我们已经建立了这个理论的基础，所以按照我许下的允诺，梅尔和我停止了狗的"
"标注 (黄)","第 29 页","","就好像学会了他们对噪音是无可奈何的，所以他们连试都不试一下，即使时间、地点、情境都改变了，他们把前面对噪音的无助带到了新的实验情境"
"标注 (黄)","第 30 页","","我们的满足感很快就被强烈的好奇心所取代。谁很容易放弃，谁又从来不会放弃？为什么？显然，有些人一下子就崩溃了，而有些人则不屈不挠，在废墟中重建"
"笔记","第 39 页","","Pmb 3/4 pmg 4"
"标注 (黄)","第 40 页","","蒂斯代尔认为解决之道在于人们对恶劣情境的解释，他认为对情境做某种解释的人容易变得无助，如果教他们改变对情境的解释，也许能有效地治疗"
"标注 (黄)","第 40 页","","为什么有些人能做出高成就而有些人则不能。韦纳的结论是：人们对成功或失败的归因决定了成就的高低，他的理论被叫做归因"
"标注 (黄)","第 40 页","","这个理论跟当时流行的看法——部分强化效应（partial reinforcement extinction effect,简称PREE）是相反的。PREE是学习理论的传统看法，老鼠每按一下杆，你就给它一个食物做报酬，这叫做“连续强化”（continuous reinforcement）。如果你想让老鼠停止按杆行为（消除），你只需停止给它食物，它再按三四下，没有食物出来，它就不按了。但是，如果一开始就给老鼠部分强化，例如每按5次或10次才给它一颗食物，那么在消除时，它会按几百几千次才会"
"标注 (黄)","第 41 页","","因此归因理论假设人类的行为不只受环境的报酬率所控制，同时也受个人认知情况的左右，即个人对环境的"
